step,loss,voltage_nll,voltage_huber,endpoint_nll,endpoint_huber,kl,q_monotonic,endpoint_monotonic,temporal_smoothness,kl_coefficient,gradient_norm,prior_std,posterior_std,validation_voltage_rmse_v,validation_voltage_crps_v,best_validation_score,best_step,stale_validations,elapsed_seconds,sampling_seconds,cells,cut_cycles,future_counts
1993,-2.6634304523468018,-1.3575191497802734,0.015697745606303215,-2.7087559700012207,0.00014130165800452232,11.308387756347656,0.009448980912566185,0.002068722853437066,0.06600695103406906,0.003986,48.28266143798828,0.748629093170166,0.35009151697158813,,,0.12027264916279884,500,2,27.31656670058146,0.0008022072724997997,MATR_b1c7|MATR_b3c0|MATR_b1c7|MATR_b1c32,688|655|648|545,64|64|64|64
1994,-2.639195680618286,-1.3847345113754272,0.015512397512793541,-2.6369261741638184,0.0001650449848966673,15.200573921203613,0.0105608981102705,0.0023247383069247007,0.06830204278230667,0.003988,49.52211380004883,0.7002724409103394,0.3819344639778137,,,0.12027264916279884,500,2,27.328289194963872,0.0008609960786998272,MATR_b1c9|MATR_b3c5|MATR_b3c13|MATR_b3c34,348|335|304|692,64|64|64|64
1995,-2.345536947250366,-1.2094364166259766,0.021415075287222862,-2.355829954147339,0.0003546897496562451,9.313262939453125,0.01051150169223547,0.001994771184399724,0.06894595921039581,0.0039900000000000005,59.79907989501953,0.6344385147094727,0.3715786337852478,,,0.12027264916279884,500,2,27.339973696973175,0.0008344757370650768,MATR_b1c36|MATR_b1c7|MATR_b3c25|MATR_b4c13,359|629|503|275,64|64|64|64
1996,-2.301579475402832,-1.153936743736267,0.020129449665546417,-2.3751065731048584,0.00028749468037858605,8.898674964904785,0.01171942614018917,0.0022095234598964453,0.0779736265540123,0.003992,48.90251922607422,0.7306951284408569,0.3798970580101013,,,0.12027264916279884,500,2,27.3516909009777,0.0008730180561542511,MATR_b1c39|MATR_b1c16|MATR_b4c44|MATR_b2c17,456|504|778|360,64|64|64|64
1997,-2.302870988845825,-1.1495518684387207,0.026346955448389053,-2.3995702266693115,0.00033812501351349056,10.225780487060547,0.009753892198204994,0.0021587666124105453,0.06655311584472656,0.003994,53.3538818359375,0.6457194089889526,0.35600578784942627,,,0.12027264916279884,500,2,27.364432093687356,0.0009042560122907162,MATR_b1c17|MATR_b4c16|MATR_b4c27|MATR_b1c16,519|485|422|303,64|64|64|64
1998,-2.3487496376037598,-1.1280964612960815,0.02744325064122677,-2.53214168548584,0.00031299173133447766,9.90378189086914,0.010538926348090172,0.0021922963205724955,0.06962821632623672,0.003996,74.05436706542969,0.6539033651351929,0.3630582094192505,,,0.12027264916279884,500,2,27.376296792645007,0.000856438186019659,MATR_b4c8|MATR_b2c42|MATR_b2c6|MATR_b3c11,508|245|240|251,64|64|64|64
1999,-2.3299241065979004,-1.1656841039657593,0.021649079397320747,-2.4508299827575684,0.0002185515477322042,14.140824317932129,0.010545970872044563,0.002928016008809209,0.06634238362312317,0.003998,89.31452941894531,0.6467204093933105,0.42108190059661865,,,0.12027264916279884,500,2,27.388977884780616,0.000897824764251709,MATR_b3c34|MATR_b4c30|MATR_b1c40|MATR_b3c39,454|269|761|348,64|64|64|64
2000,-2.3854382038116455,-1.1814416646957397,0.024203618988394737,-2.479905605316162,0.00022887426894158125,7.707314491271973,0.008985696360468864,0.001843713689595461,0.06370660662651062,0.004,91.6884536743164,0.6692442893981934,0.37683409452438354,0.2141643513583934,0.08399296090651291,0.08399296090651291,2000,0,27.66653770999983,0.000729450024664402,MATR_b1c45|MATR_b2c32|MATR_b4c40|MATR_b2c34,355|423|738|371,64|64|64|64
2001,-2.6985220909118652,-1.352874755859375,0.017073797062039375,-2.7670891284942627,9.199554187944159e-05,8.557355880737305,0.010161127895116806,0.0020853138994425535,0.06781306862831116,0.004002,33.4058952331543,0.6434783935546875,0.3756837844848633,,,0.08399296090651291,2000,0,27.724897325970232,0.000861097127199173,MATR_b1c28|MATR_b4c23|MATR_b2c44|MATR_b3c22,555|794|299|430,64|64|64|64
2002,-2.511359691619873,-1.2637640237808228,0.020046928897500038,-2.601038932800293,0.0002408497966825962,12.135845184326172,0.010659844614565372,0.0025459371972829103,0.07011034339666367,0.004004,48.74717712402344,0.6166165471076965,0.37450140714645386,,,0.08399296090651291,2000,0,27.7386681297794,0.0008731381967663765,MATR_b3c35|MATR_b1c28|MATR_b2c28|MATR_b4c27,352|255|221|221,64|64|64|64
2003,-2.41349720954895,-1.2656999826431274,0.018021196126937866,-2.3879988193511963,0.0001780968450475484,10.560037612915039,0.01123021449893713,0.0018804349238052964,0.07422203570604324,0.004006,36.38958740234375,0.6407429575920105,0.35486382246017456,,,0.08399296090651291,2000,0,27.752075214870274,0.0009097973816096783,MATR_b3c5|MATR_b2c11|MATR_b2c27|MATR_b3c44,494|361|346|408,64|64|64|64
2004,-2.0446102619171143,-0.9853542447090149,0.030456703156232834,-2.2133326530456543,0.0003920733870472759,10.20939826965332,0.010771410539746284,0.0024359310045838356,0.07157884538173676,0.004008,48.79652404785156,0.6343876719474792,0.364621639251709,,,0.08399296090651291,2000,0,27.765326669905335,0.0008191880770027637,MATR_b3c25|MATR_b4c13|MATR_b4c13|MATR_b2c0,671|686|467|220,64|64|64|64
2005,-2.642439842224121,-1.3811078071594238,0.017741531133651733,-2.6068215370178223,0.00016102285007946193,9.542901992797852,0.009865530766546726,0.0017981970449909568,0.06628619879484177,0.0040100000000000005,29.8734188079834,0.5777962803840637,0.35844412446022034,,,0.08399296090651291,2000,0,27.77780153695494,0.0008880761452019215,MATR_b1c31|MATR_b4c16|MATR_b3c40|MATR_b1c24,321|647|247|686,64|64|64|64
2006,-2.576855421066284,-1.3308522701263428,0.020097043365240097,-2.5683791637420654,0.00022791660740040243,8.442193984985352,0.00950363278388977,0.0021139723248779774,0.06667952984571457,0.004012,17.473217010498047,0.6608469486236572,0.37249791622161865,,,0.08399296090651291,2000,0,27.790648808702826,0.000786507036536932,MATR_b2c31|MATR_b2c0|MATR_b4c35|MATR_b4c40,386|171|750|673,64|64|64|64
2007,-2.000972270965576,-0.972990095615387,0.028701528906822205,-2.1412806510925293,0.0004911915166303515,9.084395408630371,0.011047220788896084,0.002346929395571351,0.07390198856592178,0.004014,48.43031311035156,0.642376184463501,0.3955732583999634,,,0.08399296090651291,2000,0,27.802643609698862,0.0008065639995038509,MATR_b2c27|MATR_b1c38|MATR_b4c26|MATR_b1c28,331|300|427|342,64|64|64|64
2008,-1.6347981691360474,-0.8394938111305237,0.029125332832336426,-1.6913082599639893,0.0006114888237789273,10.954090118408203,0.012289917096495628,0.002459042938426137,0.07991394400596619,0.0040160000000000005,125.21458435058594,0.6247363090515137,0.35779762268066406,,,0.08399296090651291,2000,0,27.81433836184442,0.0007102349773049355,MATR_b4c43|MATR_b4c27|MATR_b3c22|MATR_b1c45,607|350|625|334,64|64|64|64
2009,-2.0654895305633545,-1.0886261463165283,0.026031598448753357,-2.0495822429656982,0.0004429940308909863,10.528383255004883,0.010476086288690567,0.001999458996579051,0.07209043204784393,0.004018,54.78507614135742,0.62895667552948,0.34088051319122314,,,0.08399296090651291,2000,0,27.826226613949984,0.0006914492696523666,MATR_b4c20|MATR_b1c45|MATR_b3c21|MATR_b2c45,508|311|566|349,64|64|64|64
2010,-2.1958260536193848,-1.0290788412094116,0.026534980162978172,-2.43576717376709,0.00030158425215631723,11.316003799438477,0.009934308007359505,0.0021442342549562454,0.06747496128082275,0.00402,91.34661865234375,0.5643332004547119,0.3847678303718567,,,0.08399296090651291,2000,0,27.83831483963877,0.0008239769376814365,MATR_b2c44|MATR_b4c44|MATR_b1c23|MATR_b4c8,359|584|528|295,64|64|64|64
2011,-1.9234226942062378,-0.5682737231254578,0.031066035851836205,-2.784944534301758,0.00012997500016354024,7.6786723136901855,0.008600746281445026,0.0018330884631723166,0.057090867310762405,0.004022,197.5325164794922,0.5732364654541016,0.34993410110473633,,,0.08399296090651291,2000,0,27.850759089924395,0.0007938900962471962,MATR_b1c41|MATR_b4c39|MATR_b1c17|MATR_b2c35,601|453|428|316,64|64|64|64
2012,-1.8343480825424194,-0.6834894418716431,0.03087230958044529,-2.369283676147461,0.00025345972971990705,6.789383411407471,0.00826617144048214,0.0023218521382659674,0.05570252984762192,0.004024,183.26596069335938,0.5137441158294678,0.3749633729457855,,,0.08399296090651291,2000,0,27.86315058078617,0.0008464991115033627,MATR_b1c36|MATR_b3c22|MATR_b1c31|MATR_b3c35,234|619|465|760,64|64|64|64
2013,-2.1217353343963623,-0.8484579920768738,0.03256913647055626,-2.6517481803894043,0.00018693394667934626,11.381950378417969,0.008498883806169033,0.0019729197956621647,0.06100735068321228,0.004026,118.42716979980469,0.5286081433296204,0.3845379948616028,,,0.08399296090651291,2000,0,27.875328182708472,0.0009281211532652378,MATR_b2c28|MATR_b4c30|MATR_b1c29|MATR_b3c12,314|257|296|732,64|64|64|64
2014,-2.4272208213806152,-1.207647442817688,0.023663880303502083,-2.5449910163879395,0.000197860092157498,11.895103454589844,0.009309854358434677,0.002133301692083478,0.06272675842046738,0.004028,95.30890655517578,0.5200349688529968,0.36218535900115967,,,0.08399296090651291,2000,0,27.8881595749408,0.000873098149895668,MATR_b1c45|MATR_b3c40|MATR_b4c8|MATR_b3c39,427|387|507|382,64|64|64|64
2015,-2.672084093093872,-1.3777861595153809,0.01656179688870907,-2.718235731124878,0.0001227056491188705,15.199972152709961,0.010309571400284767,0.0019430445972830057,0.06787935644388199,0.004030000000000001,30.3095703125,0.5297050476074219,0.3731723427772522,,,0.08399296090651291,2000,0,27.90120653901249,0.0010146531276404858,MATR_b2c13|MATR_b3c8|MATR_b1c29|MATR_b1c9,212|264|571|462,64|64|64|64
