cell_id,current_cycle,cycle_alpha,beta,q_cut,q_end,forecast_points,current_soh_absolute_error,interval_coverage,soh_mae,soh_rmse
MATR_b2c24,262,0.5,0.5,0.7144799545454545,0.9573770909090907,262,0.0004762411117553711,1.0,0.01341391383236601,0.023823759808601023
MATR_b2c24,366,0.7,0.25,0.3205049272727273,0.933092090909091,158,0.0026723742485046387,1.0,0.012774019301692141,0.017658244874933577
MATR_b2c24,366,0.7,0.5,0.7210134909090908,0.933092090909091,158,0.0024799108505249023,1.0,0.013168198021152351,0.018359138284351543
MATR_b2c3,109,0.3,0.25,0.3244458,0.9477465454545453,252,0.007262587547302246,0.996031746031746,0.01146977666824583,0.013466836235288299
MATR_b2c3,109,0.3,0.5,0.7304144454545454,0.9477465454545453,252,0.0070609450340271,0.996031746031746,0.012771151841632904,0.014964527457701963
MATR_b2c3,181,0.5,0.25,0.31931139999999997,0.9129402727272726,180,0.0015690326690673828,0.9944444444444445,0.009064978692266676,0.011341544037093785
MATR_b2c3,181,0.5,0.5,0.7132534,0.9129402727272726,180,0.0014380216598510742,0.9944444444444445,0.009671678145726522,0.011998372346725262
MATR_b2c3,252,0.7,0.25,0.31785601818181813,0.8708108545454545,109,0.0005805492401123047,1.0,0.004221628018475454,0.0073231304873187615
MATR_b2c3,252,0.7,0.5,0.6944692636363635,0.8708108545454545,109,0.000862419605255127,1.0,0.004309520262097,0.0077536327173958275
MATR_b2c33,164,0.3,0.25,0.3320167545454545,0.9834386363636364,382,0.0006984472274780273,1.0,0.01041111006786686,0.016302178990757435
MATR_b2c33,164,0.3,0.5,0.7381688454545453,0.9834386363636364,382,0.0007483363151550293,1.0,0.010482140392533148,0.016809034222042364
MATR_b2c33,273,0.5,0.25,0.32938919090909086,0.9755130909090909,273,0.001916646957397461,1.0,0.015402638213538425,0.026191774340927208
MATR_b2c33,273,0.5,0.5,0.735372090909091,0.9755130909090909,273,0.0018950700759887695,1.0,0.016182066320062995,0.027130256395532366
MATR_b2c33,382,0.7,0.25,0.3236915818181818,0.9524198181818181,164,0.003978729248046875,1.0,0.014494430364632025,0.019585317252546107
MATR_b2c33,382,0.7,0.5,0.7240540909090908,0.9524198181818181,164,0.003771066665649414,1.0,0.014968353073771408,0.02041739915861487
MATR_b2c41,136,0.3,0.25,0.32406993636363635,0.9740432727272726,316,0.0011103153228759766,0.8639240506329114,0.02109984091565579,0.03719829997813278
MATR_b2c41,136,0.3,0.5,0.7188586181818181,0.9740432727272726,316,0.0011631250381469727,0.8575949367088608,0.02155288318289986,0.03776765093548762
MATR_b2c41,226,0.5,0.25,0.319492,0.9628825454545453,226,0.0005360841751098633,0.7654867256637168,0.02485426732924132,0.03882105321774151
MATR_b2c41,226,0.5,0.5,0.714393309090909,0.9628825454545453,226,0.0005689859390258789,0.7477876106194691,0.025616290031281193,0.039714616198207243
