step,loss,soh_nll,soh_huber,kl,effective_kl_coefficient,future_voltage,endpoint,monotonic,prior_std_mean,posterior_std_mean,gradient_norm,validation_soh_rmse,validation_soh_nll,validation_soh_crps,selection_metric,validation_selection_score,best_validation_score,best_validation_soh_rmse,best_validation_soh_crps,best_step,stale_validations,elapsed_seconds,sampling_seconds,cells,current_cycles,betas
4634,-2.7916038036346436,-2.929062604904175,0.00035219319397583604,14.425949096679688,0.009268,0.01819741725921631,0.0002481716510374099,0.0024635703302919865,0.3081262707710266,0.15402314066886902,199.07334899902344,,,,crps,,0.025109182413459132,0.047571417043706016,0.025109182413459132,500,8,466.43559250514954,0.0034261420369148254,MATR_b2c4|MATR_b1c39|MATR_b4c31|MATR_b1c33|MATR_b3c4|MATR_b4c31|MATR_b3c0|MATR_b4c25,284|279|394|416|731|261|470|276,0.3472|0.1139|0.3199|0.2822|0.3026|0.4227|0.5820|0.3790
4635,-3.21846342086792,-3.3443450927734375,9.805075387703255e-05,13.091496467590332,0.00927,0.022081809118390083,0.0007800144958309829,0.0009439417044632137,0.3409372568130493,0.17668887972831726,198.77407836914062,,,,crps,,0.025109182413459132,0.047571417043706016,0.025109182413459132,500,8,466.53667422104627,0.0031259912066161633,MATR_b2c35|MATR_b2c46|MATR_b2c4|MATR_b3c11|MATR_b2c14|MATR_b2c29|MATR_b1c23|MATR_b3c35,167|126|368|198|221|415|387|316,0.3585|0.5993|0.6497|0.6467|0.3273|0.1451|0.3064|0.2293
4636,-2.7668404579162598,-2.9490537643432617,0.0002767917758319527,18.573387145996094,0.009272,0.048846323043107986,0.0014652982354164124,0.0029779698234051466,0.3446699380874634,0.16468855738639832,216.2487335205078,,,,crps,,0.025109182413459132,0.047571417043706016,0.025109182413459132,500,8,466.6354962978512,0.004185955040156841,MATR_b3c25|MATR_b4c4|MATR_b4c17|MATR_b3c38|MATR_b4c2|MATR_b4c43|MATR_b4c40|MATR_b4c28,763|710|285|1030|334|316|822|590,0.5499|0.1559|0.5406|0.3458|0.1263|0.1987|0.1620|0.5722
4637,-3.060088634490967,-3.252729892730713,7.493517477996647e-05,20.239355087280273,0.009274000000000001,0.024414196610450745,0.00031108359689824283,0.0012741175014525652,0.34095436334609985,0.17538432776927948,204.83999633789062,,,,crps,,0.025109182413459132,0.047571417043706016,0.025109182413459132,500,8,466.7365645579994,0.003624072764068842,MATR_b3c35|MATR_b3c11|MATR_b3c25|MATR_b1c31|MATR_b2c1|MATR_b3c44|MATR_b3c44|MATR_b2c10,290|475|274|543|100|592|684|177,0.5343|0.4527|0.5183|0.4264|0.4814|0.3041|0.5621|0.6005
4638,-3.3706319332122803,-3.4943621158599854,9.85740844043903e-05,12.86192798614502,0.009276,0.02175797149538994,0.0003974017163272947,0.0011717870365828276,0.34142637252807617,0.16232076287269592,23.363113403320312,,,,crps,,0.025109182413459132,0.047571417043706016,0.025109182413459132,500,8,466.8349897121079,0.0037596868351101875,MATR_b1c31|MATR_b4c39|MATR_b4c44|MATR_b3c26|MATR_b3c44|MATR_b2c44|MATR_b3c0|MATR_b2c10,522|251|256|422|465|338|721|391,0.5170|0.3664|0.4562|0.3877|0.1990|0.5349|0.6742|0.6022
4639,-3.013232946395874,-3.1207451820373535,0.000162707845447585,11.09000015258789,0.009278,0.022710802033543587,0.00031314388616010547,0.0013397035654634237,0.25738415122032166,0.14938896894454956,253.79965209960938,,,,crps,,0.025109182413459132,0.047571417043706016,0.025109182413459132,500,8,466.9365768842399,0.003929814789444208,MATR_b4c13|MATR_b4c19|MATR_b2c45|MATR_b1c38|MATR_b2c31|MATR_b2c13|MATR_b1c23|MATR_b1c41,692|690|262|342|400|361|707|667,0.3223|0.6597|0.5538|0.1137|0.6075|0.4446|0.3994|0.1130
4640,-3.1124236583709717,-3.2682602405548096,0.00014470313908532262,16.14523696899414,0.00928,0.02953781932592392,0.000594444980379194,0.0013063737424090505,0.32560884952545166,0.16881483793258667,57.374732971191406,,,,crps,,0.025109182413459132,0.047571417043706016,0.025109182413459132,500,8,467.0349166980013,0.003353055100888014,MATR_b2c14|MATR_b2c6|MATR_b3c5|MATR_b1c33|MATR_b3c28|MATR_b2c47|MATR_b1c38|MATR_b3c22,261|155|515|369|189|429|340|240,0.3979|0.6024|0.6463|0.1195|0.6159|0.3082|0.6141|0.2834
4641,-3.1506235599517822,-3.2664904594421387,0.00011194885883014649,11.642724990844727,0.009282,0.03865249827504158,0.0003319999959785491,0.0013218983076512814,0.2994673252105713,0.16655130684375763,56.71556854248047,,,,crps,,0.025109182413459132,0.047571417043706016,0.025109182413459132,500,8,467.1348707540892,0.0033015301451087,MATR_b2c47|MATR_b2c47|MATR_b4c27|MATR_b1c17|MATR_b4c35|MATR_b2c35|MATR_b2c47|MATR_b2c46,401|416|442|559|292|347|398|204,0.2721|0.3381|0.4565|0.2997|0.5996|0.3366|0.5567|0.4175
4642,-2.6761136054992676,-2.8032991886138916,0.00021293909230735153,13.294563293457031,0.009284,0.018357010558247566,0.00032631694921292365,0.0012221330543980002,0.34798383712768555,0.1695994734764099,243.22682189941406,,,,crps,,0.025109182413459132,0.047571417043706016,0.025109182413459132,500,8,467.231431809254,0.0036099161952733994,MATR_b2c11|MATR_b4c24|MATR_b4c40|MATR_b1c9|MATR_b4c37|MATR_b3c25|MATR_b4c27|MATR_b2c45,152|833|232|784|334|361|184|386,0.2293|0.4843|0.4585|0.2969|0.6281|0.2417|0.5642|0.2251
4643,-2.8576250076293945,-2.960383892059326,0.00011038749653380364,10.463846206665039,0.009286,0.02755003795027733,0.0004693628870882094,0.0012385942973196507,0.28948870301246643,0.15966008603572845,624.5372924804688,,,,crps,,0.025109182413459132,0.047571417043706016,0.025109182413459132,500,8,467.32607801025733,0.003580722026526928,MATR_b3c8|MATR_b2c20|MATR_b4c33|MATR_b4c38|MATR_b2c14|MATR_b1c32|MATR_b1c44|MATR_b2c34,517|352|159|663|211|548|201|403,0.5625|0.3492|0.3948|0.4449|0.5443|0.5396|0.2546|0.5844
4644,-2.682981014251709,-2.8040990829467773,0.00020457262871786952,12.452803611755371,0.009288,0.026801113039255142,0.000423177785705775,0.0013232100754976273,0.31277039647102356,0.16088491678237915,595.2783203125,,,,crps,,0.025109182413459132,0.047571417043706016,0.025109182413459132,500,8,467.42215169314295,0.0038181357085704803,MATR_b2c44|MATR_b4c40|MATR_b3c4|MATR_b4c38|MATR_b4c2|MATR_b3c21|MATR_b3c13|MATR_b4c13,232|359|744|715|454|529|582|436,0.1810|0.7042|0.2754|0.7017|0.3427|0.5656|0.4406|0.5195
4645,-2.81642484664917,-3.015627861022949,0.00019072876602876931,20.79335594177246,0.009290000000000001,0.029729655012488365,0.0003430729848332703,0.0014296837616711855,0.30096155405044556,0.1685723215341568,220.78060913085938,,,,crps,,0.025109182413459132,0.047571417043706016,0.025109182413459132,500,8,467.517895729281,0.0036846771836280823,MATR_b2c18|MATR_b3c28|MATR_b4c0|MATR_b3c27|MATR_b3c12|MATR_b1c44|MATR_b1c26|MATR_b3c19,201|317|479|510|432|286|665|255,0.1339|0.5770|0.4214|0.3703|0.5769|0.1694|0.2360|0.2172
4646,-2.998882532119751,-3.2140188217163086,0.00014497851952910423,22.675582885742188,0.009292,0.021750714629888535,0.0004377575824037194,0.001163777895271778,0.37778010964393616,0.17476916313171387,102.73866271972656,,,,crps,,0.025109182413459132,0.047571417043706016,0.025109182413459132,500,8,467.6193752400577,0.003640173003077507,MATR_b2c1|MATR_b4c5|MATR_b3c41|MATR_b3c16|MATR_b4c20|MATR_b1c9|MATR_b3c11|MATR_b2c43,119|396|321|1057|383|422|463|183,0.5867|0.2553|0.1160|0.1731|0.3709|0.1347|0.2557|0.5193
4647,-2.188060998916626,-2.295754909515381,0.00021744966215919703,11.041922569274902,0.009294,0.02485506609082222,0.0003879235591739416,0.0016894196160137653,0.3015395998954773,0.15850909054279327,60.006160736083984,,,,crps,,0.025109182413459132,0.047571417043706016,0.025109182413459132,500,8,467.718013912905,0.00335202319547534,MATR_b2c11|MATR_b1c20|MATR_b2c31|MATR_b1c38|MATR_b2c2|MATR_b2c28|MATR_b2c10|MATR_b3c19,279|150|223|433|222|370|234|910,0.6677|0.3642|0.2958|0.2133|0.5008|0.7029|0.3351|0.3376
4648,-2.3691017627716064,-2.547506809234619,0.00017093663336709142,18.184288024902344,0.009296,0.046362243592739105,0.0004313813988119364,0.001436083810403943,0.27318376302719116,0.16193464398384094,248.86004638671875,,,,crps,,0.025109182413459132,0.047571417043706016,0.025109182413459132,500,8,467.8172536222264,0.0037656580097973347,MATR_b1c29|MATR_b2c4|MATR_b4c23|MATR_b1c9|MATR_b2c46|MATR_b3c0|MATR_b4c40|MATR_b1c45,335|337|717|452|228|385|841|301,0.2289|0.3130|0.6830|0.5262|0.4775|0.4804|0.5184|0.3085
4649,-2.676018238067627,-2.850513458251953,0.0002154172834707424,18.401119232177734,0.009297999999999999,0.016542185097932816,0.0003472891985438764,0.0015086713247001171,0.32905176281929016,0.17782899737358093,495.0904846191406,,,,crps,,0.025109182413459132,0.047571417043706016,0.025109182413459132,500,8,467.9135846560821,0.0033842637203633785,MATR_b4c39|MATR_b3c26|MATR_b2c34|MATR_b3c28|MATR_b4c26|MATR_b4c19|MATR_b1c26|MATR_b2c28,215|257|118|190|328|256|394|325,0.4153|0.4923|0.2990|0.3181|0.1023|0.1131|0.1885|0.5057
