horizon_scheme,seed,learning_rate,context_size,horizon,folds_represented,pooled_lifetime_rmse_cycles,pooled_lifetime_mae_cycles,pooled_lifetime_bias_cycles,pooled_rul_mape_percent,pooled_coverage,pooled_interval_width_cycles,num_predictions,num_unique_test_cells
expanded,42,5e-05,16,220,1,152.43180128645858,114.89362216409188,74.7496370542092,21.520660874625882,0.7058823529411765,278.83250162901095,34,34
expanded,42,5e-05,16,240,1,121.87696444251758,94.14256888119158,32.19149261289479,17.598698739048338,0.8235294117647058,248.4179356328259,34,34
expanded,42,5e-05,16,260,1,110.23278495896749,82.55343137764119,20.18530711642503,16.233661214413218,0.8823529411764706,242.0295321104461,34,34
expanded,42,5e-05,16,280,1,103.47358487048187,78.5166061063338,22.709644797165254,17.340957436166946,0.8529411764705882,232.94044760023257,34,34
expanded,42,5e-05,16,300,1,90.80156707743903,69.5182656867668,9.417871397915723,17.60886806603759,0.7941176470588235,199.2182569835018,34,34
expanded,42,5e-05,16,320,1,93.12165753882451,72.3330336798303,16.76167208570122,26.013289916706583,0.7941176470588235,196.06915315251226,34,34
expanded,42,5e-05,16,340,1,83.9723934577134,64.13346537812487,13.770366210876062,15.158915692519455,0.7878787878787878,187.44923195756303,33,33
expanded,42,5e-05,16,360,1,82.90080610912396,60.86358247175785,5.01210988139555,15.499936064303588,0.7878787878787878,174.92647303747728,33,33
expanded,42,5e-05,16,380,1,90.35506676185511,68.95077860751412,17.733731977608862,19.271393133890673,0.7272727272727273,172.51259519265545,33,33
expanded,42,5e-05,16,400,1,87.14429815756054,62.92472123499352,10.252082940167071,20.48058093705502,0.7575757575757576,164.84306974591692,33,33
expanded,42,5e-05,16,420,1,84.98474994136964,59.4084916390928,6.04928723944549,29.055021148594985,0.7272727272727273,155.4547381003642,33,33
expanded,42,5e-05,16,440,1,88.3834112848439,61.43482691315902,8.398544160786175,21.503020580351965,0.71875,152.45593594974645,32,32
expanded,42,5e-05,16,460,1,91.40978139965222,60.72932699159904,-1.6281024357808362,18.03088049051427,0.7096774193548387,148.71311938579862,31,31
expanded,42,5e-05,16,480,1,90.07984764949238,61.62348742647096,3.8331740075343754,21.529621572089123,0.7419354838709677,144.03794882543198,31,31
expanded,42,5e-05,16,500,1,96.48469204173135,68.21768754953337,6.615622762526128,29.2002646469647,0.7,143.53764144324245,30,30
expanded,42,5e-05,16,520,1,97.90491783275885,68.8609657496232,-4.053791364495505,31.451766754668714,0.6785714285714286,140.21956449106628,28,28
expanded,42,5e-05,16,540,1,98.75274217484868,66.11183393670147,-11.632432988569205,21.610989557951697,0.6296296296296297,137.80898560372518,27,27
expanded,42,5e-05,16,560,1,99.03251474752369,63.95098837861074,-15.347842227295237,22.940469991403685,0.6296296296296297,134.65938060024476,27,27
expanded,42,5e-05,16,580,1,95.92888435663018,60.641648749358716,-16.956781198059325,24.558075818453812,0.6666666666666666,130.15711573486044,27,27
expanded,42,5e-05,16,600,1,90.97296411805111,55.92937731577343,-22.741476299163697,26.455036396205355,0.6666666666666666,129.79725758345896,27,27
original,42,2.5e-05,8,60,5,621.8917496739455,536.675194431257,483.2565616736065,98.6408471359221,0.38461538461538464,804.1295199972816,169,169
original,42,2.5e-05,8,80,5,437.8038945453885,362.60554107563485,312.18863409924774,62.60373619865216,0.3905325443786982,639.8280784843781,169,169
original,42,2.5e-05,8,100,5,194.81332644616106,125.04176988004406,16.661357391069316,23.546517948639924,0.7810650887573964,385.2949993465034,169,169
original,42,2.5e-05,8,120,5,183.55963065727934,115.03496492271887,9.777383784708475,28.855550783635266,0.757396449704142,326.1463999153364,169,169
original,42,2.5e-05,8,140,5,179.9345551666429,107.3192561200691,-4.5140212783459805,72.73057718872923,0.727810650887574,281.8520947827039,169,169
original,42,2.5e-05,8,160,5,173.1378067259637,102.39550214392494,-14.182260074706168,14.503657124126763,0.6904761904761905,253.6339169260132,168,168
original,42,2.5e-05,8,180,5,165.88580179264576,100.70129071225189,16.209579356344808,14.798839052034845,0.7142857142857143,261.739382256742,168,168
original,42,2.5e-05,8,200,5,158.15682630900747,93.83860953174843,-6.082206422493695,13.89591935586924,0.6666666666666666,229.01103912717485,168,168
original,42,2.5e-05,8,220,5,158.37465160109173,95.32042562852418,6.479703320065084,14.751136267718193,0.6904761904761905,235.5244024540049,168,168
original,42,2.5e-05,8,240,5,152.63548112535216,88.94595929743909,-9.298880429852378,14.080809929717772,0.6845238095238095,218.47635333775378,168,168
original,42,2.5e-05,8,260,5,152.6908013550336,88.57054646334336,-5.153521210482414,14.841054496688177,0.6785714285714286,221.8211025910134,168,168
original,42,2.5e-05,8,280,5,146.2417289000596,85.31665374394892,-2.1491549083376897,15.561950568532923,0.6785714285714286,226.5355594985363,168,168
original,42,2.5e-05,8,300,5,146.1778458337097,83.15788234885065,-18.326802018795632,15.291409653177793,0.6766467065868264,213.4645452873908,167,167
original,42,2.5e-05,8,320,5,140.96032473912973,79.66821405066575,-24.217422317843308,16.2011713912692,0.6706586826347305,211.03004212478209,167,167
original,42,2.5e-05,8,340,5,142.71063000813416,81.9334515706801,-36.103862501009424,17.360726885188463,0.6566265060240963,210.95291310215947,166,166
original,42,2.5e-05,8,360,5,143.12516916460478,83.33544525021567,-46.36072633192501,19.387591294801908,0.6325301204819277,206.4938147344346,166,166
original,42,2.5e-05,8,380,5,147.70588629502535,88.79409575599983,-50.77707162157409,23.642268457568125,0.6265060240963856,206.60481279940154,166,166
original,42,2.5e-05,8,400,5,151.20396433162847,91.0953408582669,-57.951722882811154,28.90790626520086,0.6024096385542169,205.55314686753763,166,166
original,42,2.5e-05,8,420,5,157.24417148631952,98.91654675155127,-74.7279277436307,42.836680903814774,0.572289156626506,203.66581643869003,166,166
