cell_id,current_cycle,cycle_alpha,beta,q_cut,q_end,forecast_points,current_soh_absolute_error,mean_predictive_std,mean_epistemic_std,mean_aleatoric_std,mean_prior_latent_std,interval_width,coverage_50,coverage_80,coverage_90,coverage_95,soh_mae,soh_rmse,soh_nll,soh_crps
MATR_b1c2,1118,0.5,0.25,0.32321114545454543,0.9508141818181817,1118,0.0006775856018066406,0.058391645550727844,0.0017716264119371772,0.05836332589387894,0.15607991814613342,0.228891059756279,0.669051878354204,1.0,1.0,1.0,0.026856631307141297,0.03174206702433655,-1.9124476427969068,0.019957133697530972
MATR_b1c2,1118,0.5,0.5,0.7180511454545454,0.9508141818181817,1118,0.000597834587097168,0.059369709342718124,0.0026238306891173124,0.05930791795253754,0.15608158707618713,0.23272497951984406,0.6565295169946332,1.0,1.0,1.0,0.027719975424154074,0.03270757007831262,-1.891810137686224,0.020474948143380273
MATR_b1c2,1565,0.7,0.25,0.31630250909090907,0.9262140909090908,671,0.004179060459136963,0.040317434817552567,0.0019500836497172713,0.04026943817734718,0.1593686193227768,0.15804144740104675,0.9761549925484352,1.0,1.0,1.0,0.010220687630990223,0.013767962270262831,-2.327511343273555,0.01091668373710494
MATR_b1c2,1565,0.7,0.5,0.7056248181818181,0.9262140909090908,671,0.004262208938598633,0.04055837541818619,0.001698769279755652,0.04052204638719559,0.15936784446239471,0.1589859277009964,0.9865871833084948,1.0,1.0,1.0,0.010309334305821517,0.013645115833066617,-2.321480511532067,0.010967927343866604
MATR_b1c30,213,0.3,0.25,0.33607119999999996,0.9776395454545453,495,0.0037252306938171387,0.028978051617741585,0.0011367895640432835,0.028954148292541504,0.15624567866325378,0.11359186470508575,0.9434343434343434,1.0,1.0,1.0,0.011411765729538118,0.01924685784605491,-2.8687410081536187,0.009133572780986435
MATR_b1c30,213,0.3,0.5,0.7476449545454544,0.9776395454545453,495,0.0037150979042053223,0.029124435037374496,0.0011791412252932787,0.029098836705088615,0.1562434434890747,0.11416567116975784,0.9454545454545454,1.0,1.0,1.0,0.01141090067950162,0.019106473525730326,-2.8664111731620903,0.009141878589747637
MATR_b1c30,354,0.5,0.25,0.3316862727272727,0.9696120909090907,354,0.004879593849182129,0.021665474399924278,0.001111564110033214,0.02163556031882763,0.14174064993858337,0.08492710441350937,0.0480225988700565,0.9519774011299436,1.0,1.0,0.021172966324003402,0.029923837349131066,-2.77625197499984,0.012981404319709716
MATR_b1c30,354,0.5,0.5,0.7376375545454545,0.9696120909090907,354,0.004920065402984619,0.021894248202443123,0.0009422884904779494,0.02187294326722622,0.14173957705497742,0.08582388609647751,0.12429378531073447,0.9745762711864406,1.0,1.0,0.020662265982331528,0.02925171285176588,-2.791436644790987,0.01262191137117576
MATR_b1c30,495,0.7,0.25,0.32536127272727267,0.9540143636363636,213,0.005331993103027344,0.016745632514357567,0.0007882291683927178,0.016726529225707054,0.12429104745388031,0.06564168632030487,0.009389671361502348,0.16901408450704225,0.28169014084507044,0.3568075117370892,0.037918747870575094,0.04555516625151845,-0.9186659195652798,0.02887930589066943
MATR_b1c30,495,0.7,0.5,0.725810309090909,0.9540143636363636,213,0.005404055118560791,0.016795312985777855,0.0008292089332826436,0.01677422598004341,0.12429027259349823,0.06583641469478607,0.004694835680751174,0.16901408450704225,0.28169014084507044,0.3568075117370892,0.03777788362592599,0.045333479866184925,-0.9435664508205779,0.02871085454133457
MATR_b1c34,223,0.3,0.25,0.3261398727272727,0.9767521818181818,518,0.005004227161407471,0.03501836583018303,0.0013615366769954562,0.034988805651664734,0.15344589948654175,0.13726945221424103,0.9362934362934363,1.0,1.0,1.0,0.014232892097193302,0.01933348710365972,-2.6938795997866736,0.011019627676757088
MATR_b1c34,223,0.3,0.5,0.7265543909090909,0.9767521818181818,518,0.005110025405883789,0.035184070467948914,0.0012456286931410432,0.03515959158539772,0.15344767272472382,0.13791903853416443,0.888030888030888,1.0,1.0,1.0,0.014338749831247513,0.019399097623353238,-2.6889425118134924,0.011093106875876673
MATR_b1c34,371,0.5,0.25,0.3211080454545454,0.9692387272727272,370,0.005049705505371094,0.03085809387266636,0.0010777149582281709,0.030837010592222214,0.13394437730312347,0.1209615021944046,0.8837837837837837,1.0,1.0,1.0,0.009321967492232451,0.014603223714395612,-2.8208372349079704,0.00873489400485961
