step,loss,nll,kl,beta_kl,gradient_norm,optimizer_step_skipped,horizons,context_cells,query_cells,true_lifetime_min,true_lifetime_max,validation_rmse_cycles,elapsed_seconds
47,1.3884021043777466,1.3882882595062256,0.012112182565033436,0.0094,2.0093207359313965,False,100,"MATR_b1c40,MATR_b1c28,MATR_b4c38,MATR_b1c23,MATR_b2c27,MATR_b1c16,MATR_b1c41,MATR_b4c4,MATR_b2c35,MATR_b4c19,MATR_b2c10,MATR_b3c34,MATR_b1c45,MATR_b4c28","MATR_b1c31,MATR_b2c1,MATR_b1c43,MATR_b4c33,MATR_b3c27,MATR_b2c47,MATR_b3c19,MATR_b2c4",147.0,1152.0,,3.303840628825128
48,1.1142685413360596,1.114194393157959,0.007718432694673538,0.0096,2.7227821350097656,False,260,"MATR_b1c33,MATR_b2c46,MATR_b2c44,MATR_b2c34,MATR_b4c39,MATR_b2c35,MATR_b2c26,MATR_b2c4,MATR_b1c41,MATR_b2c27","MATR_b2c10,MATR_b1c28,MATR_b1c32,MATR_b4c14,MATR_b2c28,MATR_b4c5,MATR_b2c39,MATR_b4c25",453.0,913.0,,3.344451452139765
49,1.0675745010375977,1.0673421621322632,0.023706521838903427,0.0098,1.3958615064620972,False,300,"MATR_b2c27,MATR_b2c29,MATR_b1c38,MATR_b4c22,MATR_b2c43,MATR_b1c33,MATR_b2c34,MATR_b3c41,MATR_b3c40,MATR_b3c19,MATR_b4c16,MATR_b4c40,MATR_b4c13","MATR_b4c31,MATR_b4c37,MATR_b4c23,MATR_b2c44,MATR_b4c41,MATR_b1c23,MATR_b4c14,MATR_b1c40",455.0,1038.0,,3.396540990099311
50,1.257364273071289,1.257286787033081,0.00774372136220336,0.01,2.1586966514587402,False,240,"MATR_b4c23,MATR_b3c8,MATR_b1c36,MATR_b2c23,MATR_b2c36,MATR_b2c10,MATR_b1c0,MATR_b3c22,MATR_b1c32,MATR_b2c0,MATR_b4c33,MATR_b2c32,MATR_b2c27,MATR_b1c20","MATR_b2c43,MATR_b3c34,MATR_b1c38,MATR_b2c35,MATR_b4c13,MATR_b3c44,MATR_b2c38,MATR_b2c45",461.0,1156.0,,3.4430353618226945
51,1.157236933708191,1.157076358795166,0.01574823446571827,0.0102,3.0092782974243164,False,300,"MATR_b3c4,MATR_b2c11,MATR_b3c40,MATR_b2c29,MATR_b2c36,MATR_b4c33,MATR_b4c8,MATR_b3c5,MATR_b4c28,MATR_b4c13,MATR_b4c27,MATR_b3c34","MATR_b2c18,MATR_b2c35,MATR_b2c45,MATR_b3c25,MATR_b2c27,MATR_b3c28,MATR_b1c39,MATR_b3c8",462.0,988.0,,3.4931025919504464
52,1.3179316520690918,1.3176701068878174,0.025152724236249924,0.0104,0.7774491906166077,False,120,"MATR_b2c13,MATR_b1c24,MATR_b1c31,MATR_b1c1,MATR_b3c8,MATR_b1c41,MATR_b4c27,MATR_b3c5,MATR_b1c33,MATR_b4c40,MATR_b4c30,MATR_b4c31,MATR_b4c19,MATR_b1c43,MATR_b1c39","MATR_b2c18,MATR_b4c24,MATR_b2c1,MATR_b3c26,MATR_b3c11,MATR_b4c22,MATR_b3c13,MATR_b3c35",147.0,1091.0,,3.5250942851416767
53,1.1100289821624756,1.109900712966919,0.01209563110023737,0.0106,1.1554008722305298,False,160,"MATR_b1c20,MATR_b4c37,MATR_b4c26,MATR_b2c14,MATR_b2c42,MATR_b2c27,MATR_b4c39,MATR_b2c47,MATR_b3c22,MATR_b3c35,MATR_b4c23,MATR_b2c28,MATR_b2c46","MATR_b1c41,MATR_b3c25,MATR_b2c31,MATR_b1c15,MATR_b3c21,MATR_b4c5,MATR_b2c32,MATR_b2c4",443.0,1049.0,,3.559087846893817
54,1.056648850440979,1.0559829473495483,0.06165267154574394,0.0108,1.6550734043121338,False,300,"MATR_b4c41,MATR_b2c10,MATR_b4c28,MATR_b3c34,MATR_b3c21,MATR_b3c27,MATR_b3c38,MATR_b2c2","MATR_b1c29,MATR_b3c4,MATR_b1c45,MATR_b3c28,MATR_b2c23,MATR_b2c4,MATR_b2c42,MATR_b3c40",443.0,1045.0,,3.59976251097396
55,1.0471372604370117,1.0470950603485107,0.0038352441042661667,0.011,1.5314123630523682,False,100,"MATR_b3c8,MATR_b4c39,MATR_b1c32,MATR_b2c29,MATR_b3c27,MATR_b1c15,MATR_b1c33,MATR_b1c44,MATR_b3c39,MATR_b1c31,MATR_b2c31","MATR_b1c39,MATR_b2c38,MATR_b1c7,MATR_b4c40,MATR_b2c14,MATR_b4c38,MATR_b3c41,MATR_b3c12",464.0,1055.0,,3.6290676640346646
56,0.9368712306022644,0.9367525577545166,0.01059811282902956,0.0112,1.8390215635299683,False,240,"MATR_b1c9,MATR_b1c36,MATR_b2c43,MATR_b4c5,MATR_b2c31,MATR_b1c28,MATR_b2c5,MATR_b1c16,MATR_b3c27,MATR_b3c34,MATR_b1c0,MATR_b2c47","MATR_b1c39,MATR_b4c14,MATR_b1c15,MATR_b4c43,MATR_b2c17,MATR_b3c22,MATR_b3c41,MATR_b2c44",455.0,1000.0,,3.6719841891899705
