candidate,best_source_meta_loss,mae,rmse,mae_percent,rmse_percent,r2,point_count,eol_threshold,current_cycle,actual_eol_cycle_last_hitting,predicted_eol_cycle_last_hitting,actual_rul,predicted_rul,rul_error_actual_minus_predicted,cell,mode,adaptation_best_step,adaptation_best_support_loss,oracle_query_selection,learning_rate,loss_reduction,sampling_mode,adaptation_selection_value,support_validation_mae_fraction,support_validation_mae_percent,query_used_for_gradient,query_used_for_checkpoint_selection,deployment_safe,checkpoint_selection
p0p7_ilr0p025,0.0021704717655666173,0.0735423514458478,0.0818472071508311,7.354235144584781,8.184720715083117,0.1510262093608723,972,0.7,100,882,1072,782,972,-190,CALCE_CX2_37.pkl,fast_5_steps,5,0.0052428916096687,False,0.025,sample_balanced,random,,,,,,,
p0p7_ilr0p025,0.0021704717655666173,0.0373492525605396,0.0442984645106294,3.7349252560539608,4.429846451062946,0.7513068064817717,972,0.7,100,882,1045,782,945,-163,CALCE_CX2_37.pkl,complete_paper_query_selected,1,,True,0.025,sample_balanced,random,0.0373492525605396,,,False,True,False,paper_query_early_stopping
p0p7_ilr0p025,0.0021704717655666173,0.5595242140668849,0.5815246975653455,55.952421406688494,58.15246975653455,-9.484787544676818,1479,0.7,100,878,1579,778,1479,-701,CALCE_CX2_38.pkl,fast_0_steps,0,0.1031281128525734,False,0.025,sample_balanced,random,,,,,,,
p0p7_ilr0p025,0.0021704717655666173,0.056237185753736,0.0846463531296462,5.623718575373604,8.464635312964628,0.7778533286017195,1479,0.7,100,878,1033,778,933,-155,CALCE_CX2_38.pkl,fast_1_steps,1,0.0059800841845571,False,0.025,sample_balanced,random,,,,,,,
p0p7_ilr0p025,0.0021704717655666173,0.0772968801922662,0.1008259407655917,7.72968801922662,10.082594076559174,0.6848133078731663,1479,0.7,100,878,1109,778,1009,-231,CALCE_CX2_38.pkl,fast_3_steps,3,0.0055570602416992,False,0.025,sample_balanced,random,,,,,,,
p0p7_ilr0p025,0.0021704717655666173,0.1029072470571606,0.1241457872362965,10.290724705716066,12.414578723629656,0.5221547425259875,1479,0.7,100,878,1201,778,1101,-323,CALCE_CX2_38.pkl,fast_5_steps,5,0.0053138751536607,False,0.025,sample_balanced,random,,,,,,,
p0p7_ilr0p025,0.0021704717655666173,0.056237185753736,0.0846463531296462,5.623718575373604,8.464635312964628,0.7778533286017195,1479,0.7,100,878,1033,778,933,-155,CALCE_CX2_38.pkl,complete_paper_query_selected,1,,True,0.025,sample_balanced,random,0.056237185753736,,,False,True,False,paper_query_early_stopping
p0p7_ilr0p05,0.0021060316823422907,0.0862621120295997,0.0910644540855778,8.62621120295998,9.106445408557788,-0.0509555075339231,972,0.7,100,882,1072,782,972,-190,CALCE_CX2_37.pkl,fast_0_steps,0,0.0057002850808203,False,0.05,sample_balanced,random,,,,,,,
p0p7_ilr0p05,0.0021060316823422907,0.0290335482659415,0.0365937792420123,2.9033548265941502,3.6593779242012343,0.8302924822654232,972,0.7,100,882,1029,782,929,-147,CALCE_CX2_37.pkl,fast_1_steps,1,0.0050121182575821,False,0.05,sample_balanced,random,,,,,,,
p0p7_ilr0p05,0.0021060316823422907,0.0346731250239064,0.0427546835645631,3.4673125023906413,4.275468356456314,0.7683384559803926,972,0.7,100,882,1058,782,958,-176,CALCE_CX2_37.pkl,fast_3_steps,3,0.0048525761812925,False,0.05,sample_balanced,random,,,,,,,
p0p7_ilr0p05,0.0021060316823422907,0.0525797314681243,0.0602696846318075,5.2579731468124375,6.026968463180756,0.539653981245988,972,0.7,100,882,1072,782,972,-190,CALCE_CX2_37.pkl,fast_5_steps,5,0.0045193135738372,False,0.05,sample_balanced,random,,,,,,,
p0p7_ilr0p05,0.0021060316823422907,0.0290335482659415,0.0365937792420123,2.9033548265941502,3.6593779242012343,0.8302924822654232,972,0.7,100,882,1029,782,929,-147,CALCE_CX2_37.pkl,complete_paper_query_selected,1,,True,0.05,sample_balanced,random,0.0290335482659415,,,False,True,False,paper_query_early_stopping
p0p7_ilr0p05,0.0021060316823422907,0.1139782861173883,0.1297728938954128,11.397828611738834,12.977289389541284,0.4778548056653773,1479,0.7,100,878,1221,778,1121,-343,CALCE_CX2_38.pkl,fast_0_steps,0,0.0058605149388313,False,0.05,sample_balanced,random,,,,,,,
p0p7_ilr0p05,0.0021060316823422907,0.0472609819377916,0.0800797094821463,4.726098193779161,8.00797094821463,0.8011762392003705,1479,0.7,100,878,1014,778,914,-136,CALCE_CX2_38.pkl,fast_1_steps,1,0.0051083536818623,False,0.05,sample_balanced,random,,,,,,,
