epoch,source,teacher_forced_mse,recursive_mse,source_weight,cut_point_count,cut_point_min,cut_point_max,cut_points
13,CALCE_CX2_33.pkl,0.15025632083415985,0.18485037982463837,0.16666666666666666,16,60,1249,"[60, 93, 100, 252, 274, 371, 479, 546, 602, 696, 801, 896, 943, 1099, 1147, 1249]"
13,CALCE_CX2_34.pkl,0.12787935137748718,0.16288672387599945,0.16666666666666666,16,26,1289,"[26, 100, 163, 206, 339, 391, 526, 556, 678, 738, 827, 926, 1081, 1132, 1188, 1289]"
13,CALCE_CX2_35.pkl,0.17110538482666016,0.2139587551355362,0.16666666666666666,16,30,1377,"[30, 100, 188, 282, 310, 424, 488, 627, 712, 862, 888, 1025, 1137, 1206, 1292, 1377]"
13,CALCE_CX2_36.pkl,0.11899876594543457,0.13698741793632507,0.16666666666666666,16,56,1514,"[56, 100, 125, 211, 404, 504, 569, 670, 790, 931, 941, 1055, 1190, 1322, 1367, 1514]"
13,CALCE_CX2_38.pkl,0.09347361326217651,0.12642568349838257,0.16666666666666666,16,100,1485,"[100, 101, 127, 212, 326, 518, 588, 691, 790, 903, 957, 1149, 1201, 1349, 1470, 1485]"
14,CALCE_CX2_16.pkl,0.18516814708709717,0.20279237627983093,0.16666666666666666,16,75,1271,"[75, 100, 152, 236, 341, 348, 487, 527, 663, 686, 789, 877, 987, 1027, 1143, 1271]"
14,CALCE_CX2_33.pkl,0.12570078670978546,0.15407569706439972,0.16666666666666666,16,47,1201,"[47, 100, 149, 210, 265, 365, 471, 581, 659, 685, 782, 850, 956, 1054, 1185, 1201]"
14,CALCE_CX2_34.pkl,0.10393042862415314,0.13423313200473785,0.16666666666666666,16,73,1349,"[73, 100, 107, 215, 325, 431, 473, 579, 679, 755, 899, 997, 1003, 1094, 1192, 1349]"
14,CALCE_CX2_35.pkl,0.1429537832736969,0.18031583726406097,0.16666666666666666,16,13,1379,"[13, 100, 190, 264, 358, 468, 499, 584, 747, 822, 947, 1058, 1125, 1244, 1266, 1379]"
14,CALCE_CX2_36.pkl,0.09418708086013794,0.11129546910524368,0.16666666666666666,16,83,1560,"[83, 100, 205, 313, 382, 427, 596, 707, 752, 882, 1041, 1068, 1204, 1293, 1457, 1560]"
